table_name	exact_rows
noc_autologin	1
wp_abj404_engine_profiles	0
wp_abj404_logsv2	2434
wp_abj404_logs_hits	0
wp_abj404_lookup	3
wp_abj404_redirects	995
wp_abj404_redirect_conditions	0
wp_abj404_view_done	995
wp_actionscheduler_actions	2641
wp_actionscheduler_claims	0
wp_actionscheduler_groups	5
wp_actionscheduler_logs	7909
wp_commentmeta	0
wp_comments	0
wp_cr_event_signups	0
wp_cr_forum_posts	2
wp_cr_live_comments	5
wp_cr_live_likes	3
wp_cr_live_presence	2
wp_cr_live_sessions	4
wp_cr_live_views	41
wp_cr_pdf_downloads	1
wp_cr_prayer_requests	1
wp_e_events	0
wp_e_notes	0
wp_e_notes_users_relations	0
wp_e_submissions	0
wp_e_submissions_actions_log	0
wp_e_submissions_values	0
wp_fc_campaigns	3
wp_fc_campaign_emails	66
wp_fc_campaign_url_metrics	10
wp_fc_funnels	1
wp_fc_funnel_metrics	33
wp_fc_funnel_sequences	1
wp_fc_funnel_subscribers	33
wp_fc_lists	2
wp_fc_meta	12
wp_fc_sequence_tracker	33
wp_fc_subscribers	33
wp_fc_subscriber_meta	45
wp_fc_subscriber_notes	0
wp_fc_subscriber_pivot	132
wp_fc_tags	10
wp_fc_terms	0
wp_fc_term_relations	0
wp_fc_url_stores	4
wp_ff_scheduled_actions	0
wp_fluentform_draft_submissions	0
wp_fluentform_entry_details	0
wp_fluentform_forms	7
wp_fluentform_form_analytics	0
wp_fluentform_form_meta	57
wp_fluentform_logs	0
wp_fluentform_order_items	0
wp_fluentform_submissions	0
wp_fluentform_submission_meta	0
wp_fluentform_subscriptions	0
wp_fluentform_transactions	0
wp_fsmpt_email_logs	0
wp_links	0
wp_litespeed_url	0
wp_litespeed_url_file	0
wp_options	689
wp_postmeta	7485
wp_posts	1087
wp_rank_math_404_logs	58
wp_rank_math_internal_links	1425
wp_rank_math_internal_meta	148
wp_rank_math_link_genius_audit	2129
wp_rank_math_link_genius_history	0
wp_rank_math_link_genius_maps	0
wp_rank_math_link_genius_map_variations	0
wp_rank_math_link_genius_snapshots	0
wp_rank_math_redirections	3
wp_rank_math_redirections_cache	3
wp_snippets	41
wp_termmeta	0
wp_terms	3
wp_term_relationships	2
wp_term_taxonomy	3
wp_tutor_carts	0
wp_tutor_cart_items	0
wp_tutor_coupons	0
wp_tutor_coupon_applications	0
wp_tutor_coupon_usages	0
wp_tutor_customers	0
wp_tutor_earnings	0
wp_tutor_notification_preferences	0
wp_tutor_ordermeta	0
wp_tutor_orders	0
wp_tutor_order_itemmeta	0
wp_tutor_order_items	0
wp_tutor_quiz_attempts	0
wp_tutor_quiz_attempt_answers	0
wp_tutor_quiz_questions	0
wp_tutor_quiz_question_answers	0
wp_tutor_withdraws	0
wp_um_metadata	0
wp_usermeta	773
wp_users	35
wp_wfauditevents	0
wp_wfblockediplog	152
wp_wfblocks7	0
wp_wfconfig	286
wp_wfcrawlers	6
wp_wffilechanges	0
wp_wffilemods	21180
wp_wfhits	1795
wp_wfhoover	0
wp_wfissues	7
wp_wfknownfilelist	21181
wp_wflivetraffichuman	0
wp_wflocs	0
wp_wflogins	264
wp_wfls_2fa_secrets	0
wp_wfls_role_counts	0
wp_wfls_settings	34
wp_wfnotifications	3
wp_wfpendingissues	0
wp_wfreversecache	0
wp_wfsecurityevents	0
wp_wfsnipcache	0
wp_wfstatus	919
wp_wftrafficrates	0
wp_wfwaffailures	0
